sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Geometri;Üçgende Açılar;Bir üçgenin iç açılarının ölçüleri 2 3 ve 4 sayıları ile orantılı ise en büyük iç açı kaç derecedir?;40;60;80;100;120;C;Kolay
YKS;TYT;Geometri;Dik Üçgeler;Kenar uzunlukları 5 cm ve 12 cm olan bir dik üçgenin hipotenüs uzunluğu kaç cm'dir?;13;14;15;16;17;A;Kolay
YKS;TYT;Geometri;Çokgenler;Bir düzgün altıgenin bir iç açısının ölçüsü kaç derecedir?;60;90;120;135;150;C;Orta
YKS;TYT;Felsefe;Felsefenin Anlamı;Felsefi düşüncenin en temel özelliği aşağıdakilerden hangisidir?;Dogmatik olması;Eleştirel ve sorgulayıcı olması;Deneye dayanması;Herkes tarafından kabul edilmesi;Kesin sonuçlara ulaşması;B;Kolay
YKS;TYT;Felsefe;Bilgi Felsefesi;Doğru bilginin imkansız olduğunu savunan ve her şeyden şüphe eden felsefi akım hangisidir?;Rasyonalizm;Empirizm;Kritisizm;Skeptisizm;Pozitivizm;D;Orta
YKS;TYT;Felsefe;Ahlak Felsefesi;Evrensel bir ahlak yasasının varlığını kabul eden ve bunu ödev bilinciyle açıklayan filozof kimdir?;Platon;Aristoteles;Kant;Epicuros;Nietzsche;C;Zor
YKS;TYT;Din Kültürü ve Ahlak Bilgisi;İslam ve İbadet;Aşağıdakilerden hangisi İslam'ın inanç esaslarından (imanın şartlarından) biri değildir?;Meleklere inanmak;Hacca gitmek;Ahiret gününe inanmak;Kader ve kazaya inanmak;Kitaplara inanmak;B;Kolay
YKS;TYT;Din Kültürü ve Ahlak Bilgisi;Kur'an ve Sünnet;Hz. Muhammed'in söz tutum ve davranışlarının tümünü ifade eden kavram hangisidir?;Ayet;Hadis;Sünnet;Fıkıh;Kelam;C;Kolay
YKS;TYT;Din Kültürü ve Ahlak Bilgisi;Ahlaki Kavramlar;Kişinin kendi davranışlarının sonuçlarını üstlenmesi anlamına gelen kavram hangisidir?;Adalet;Emanet;Sorumluluk;İhlas;Tevekkül;C;Kolay
YKS;TYT;Matematik;Mutlak Değer;|x - 3| = 5 eşitliğini sağlayan x değerlerinin toplamı kaçtır?;2;4;6;8;10;C;Orta
YKS;TYT;Matematik;Üslü Sayılar;4^x = 16 ise 3^(x+1) ifadesinin değeri kaçtır?;9;18;27;54;81;C;Orta
YKS;TYT;Matematik;Kümeler;A ve B kümelerinin eleman sayıları sırasıyla 5 ve 7'dir. Bu iki kümenin kesişim kümesinin eleman sayısı en fazla kaç olabilir?;2;5;7;12;35;B;Kolay
YKS;TYT;Türkçe;Paragrafta Yapı;Bir paragrafın giriş cümlesi aşağıdakilerden hangisiyle başlayamaz?;Çünkü bu durum toplumda kabul görmez;Sanat evrensel bir dildir;Kitap okumak insanı geliştirir;Günümüzde teknoloji hızla ilerliyor;Eğitim ailede başlar;A;Kolay
YKS;TYT;Türkçe;Anlatım Bozuklukları;"Aşağı yukarı tam iki saattir seni bekliyorum." cümlesindeki anlatım bozukluğunun nedeni nedir?;Gereksiz sözcük kullanımı;Anlamca çelişen sözcüklerin bir arada kullanılması;Sözcüğün yanlış yerde kullanılması;Deyim yanlışı;Özne-yüklem uyumsuzluğu;B;Orta
YKS;TYT;Türkçe;Ses Bilgisi;"Kitabı" sözcüğünde meydana gelen ses olayı aşağıdakilerden hangisidir?;Ünlü düşmesi;Ünsüz türemesi;Ünsüz yumuşaması;Ünsüz benzeşmesi;Ünlü daralması;C;Kolay
