sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Türkçe;Sözcükte Anlam;Aşağıdaki cümlelerin hangisinde "yüz" sözcüğü farklı bir anlamda kullanılmıştır?;Düğününe yüz kişi katıldı.;Çocuğun yüzünde güller açıyordu.;Havuzda yüzmek ona iyi geldi.;Koyunun derisini çabucak yüzdü.;Bu işin yüz akıyla çıkacağız.;A;Kolay
YKS;TYT;Matematik;Üslü Sayılar;2^(x+1) = 32 olduğuna göre x kaçtır?;3;4;5;6;7;B;Kolay
YKS;TYT;Coğrafya;Harita Bilgisi;Haritalardaki küçültme oranına ne ad verilir?;Lejant;Ölçek;Projeksiyon;Koordinat;İzohips;B;Kolay
YKS;AYT;Matematik;Trigonometri;sin(x) = 3/5 olan bir dik üçgende tan(x) değeri kaçtır?;3/4;4/3;4/5;5/3;1;A;Orta
YKS;AYT;Fizik;Modern Fizik;Işığın hem dalga hem de tanecik modelini destekleyen olay aşağıdakilerden hangisidir?;Yansıma;Kırılma;Fotoelektrik olay;Girişim;Kırınım;C;Zor
YKS;AYT;Türk Dili ve Edebiyatı;Divan Edebiyatı;Şarkı türünün Türk edebiyatındaki en önemli temsilcisi olan Lale Devri şairi kimdir?;Fuzuli;Baki;Nedim;Nef'i;Nabi;C;Orta
LGS;Sözel Bölüm;Türkçe;Paragrafta Anlam;Aşağıdaki cümlelerin hangisinde nesnel bir anlatım vardır?;En sevdiğim renk mavidir.;En güzel mevsim sonbahardır.;Türkiye'nin başkenti Ankara'dır.;Kitap okumak çok eğlencelidir.;;C;Kolay
LGS;Sayısal Bölüm;Matematik;Çarpanlar ve Katlar;24 sayısının kaç tane pozitif tam sayı böleni vardır?;4;6;8;10;;C;Orta
LGS;Sayısal Bölüm;Fen Bilimleri;Mevsimlerin Oluşumu;Dünyanın Güneş etrafındaki dolanma ekseni ile ekvator düzlemi arasındaki açı kaç derecedir?;23 derece 27 dakika;33 derece 27 dakika;45 derece;90 derece;;A;Kolay
LGS;Sözel Bölüm;T.C. İnkılap Tarihi;Milli Uyanış;Mustafa Kemal'in askeri idadiyi okuduğu ve fikir hayatının şekillendiği şehir hangisidir?;Selanik;Manastır;İstanbul;Sofya;;B;Orta
KPSS;Genel Yetenek;Türkçe;Dil Bilgisi;Aşağıdaki cümlelerin hangisinde bir yazım yanlışı vardır?;Herkes kendi işine baksın.;Bugün laboratuvarda deney yaptık.;Herşey üst üste geldi.;Yalnız kalmaktan korkar.;Hiçbir şey göründüğü gibi değil.;C;Orta
KPSS;Genel Yetenek;Matematik;Problemler;Bir sürahinin 1/3'ü su ile doludur. Sürahiye 4 litre daha su eklenince yarısı doluyor. Sürahi kaç litre su alır?;12;18;24;30;36;C;Orta
KPSS;Genel Kültür;Tarih;Osmanlı Tarihi;Osmanlı Devleti'nde Lale Devri hangi isyan ile sona ermiştir?;Patrona Halil İsyanı;Kabakçı Mustafa İsyanı;Şeyh Sait İsyanı;Canberdi Gazali İsyanı;Babailer İsyanı;A;Kolay
KPSS;Genel Kültür;Coğrafya;Türkiye'nin Fiziki Özellikleri;Türkiye'nin en yüksek dağı olan Ağrı Dağı hangi coğrafi bölgemizde yer alır?;Karadeniz;Doğu Anadolu;İç Anadolu;Güneydoğu Anadolu;Akdeniz;B;Kolay
KPSS;Genel Kültür;Vatandaşlık;Anayasa Hukuku;1982 Anayasası'na göre temel hak ve hürriyetler aşağıdakilerden hangisiyle sınırlanabilir?;Kanun;Cumhurbaşkanlığı Kararnamesi;Yönetmelik;Genelge;Anayasa Mahkemesi Kararı;A;Zor
