sinav_turu;alt_sinav;ders;konu;soru_metni;a_sikki;b_sikki;c_sikki;d_sikki;e_sikki;dogru_cevap;zorluk_seviyesi
YKS;TYT;Coğrafya;Doğa ve İnsan;Aşağıdaki coğrafya alt dallarından hangisi fiziki coğrafyanın inceleme alanına girmez?;Jeomorfoloji;Klimatoloji;Hidroğrafya;Nüfus Coğrafyası;Kartografya;D;Kolay
YKS;TYT;Coğrafya;Dünyanın Şekli ve Hareketleri;Dünyanın eksen eğikliğinin bir sonucu olarak aşağıdakilerden hangisi gerçekleşir?;Mevsimlerin oluşması;Gece ve gündüzün birbirini takip etmesi;Yerel saat farklarının ortaya çıkması;Dinamik basınç kuşaklarının oluşması;Dünyanın bir yarısı aydınlıkken diğer yarısının karanlık olması;A;Orta
YKS;TYT;Coğrafya;İklim Bilgisi;Aşağıdaki iklim tiplerinden hangisinin her mevsimi yağışlı ve düzenli bir rejime sahiptir?;Akdeniz İklimi;Muson İklimi;Ekvatoral İklim;Savan İklimi;Çöl İklimi;C;Orta
YKS;TYT;Coğrafya;Türkiye'nin Yer Şekilleri;Aşağıdaki dağlarımızdan hangisi oluşum yönüyle "kıvrım dağ" özelliğine sahiptir?;Toros Dağları;Aydın Dağları;Yunt Dağı;Mandra Dağı;Hasan Dağı;A;Orta
YKS;TYT;Fizik;Fizik Bilimine Giriş;Aşağıdakilerden hangisi fiziğin alt dallarından biri değildir?;Mekanik;Termodinamik;Nükleer Fizik;Optik;Jeoloji;E;Kolay
YKS;TYT;Fizik;Madde ve Özellikleri;Sabit sıcaklık ve basınç altında bir maddenin kütlesi artırılırsa özkütlesi nasıl değişir?;Artar;Azalır;Değişmez;Önce artar sonra azalır;Yarıya düşer;C;Kolay
YKS;TYT;Fizik;Hareket ve Kuvvet;Sürat ile hız kavramları arasındaki en temel fark aşağıdakilerden hangisidir?;Sürat vektörel hız skalerdir;Sürat skaler hız vektöreldir;Birimleri farklıdır;Farklı aletlerle ölçülürler;Aralarında hiçbir fark yoktur;B;Orta
YKS;TYT;Fizik;Isı ve Sıcaklık;Isı alan saf bir katı maddenin hal değiştirirken sıcaklığı nasıl değişir?;Artar;Azalır;Sabit kalır;Önce artar sonra sabit kalır;Sıfıra düşer;C;Orta
YKS;TYT;Kimya;Kimya Bilimi;Aşağıdakilerden hangisi elementlerin özelliklerinden biri değildir?;Saf maddelerdir;Sembollerle gösterilirler;Fiziksel yollarla bileşenlerine ayrılabilirler;Homojendirler;Belirli erime noktaları vardır;C;Kolay
YKS;TYT;Kimya;Atom ve Periyodik Sistem;Periyodik cetvelde aynı grupta yukarıdan aşağıya doğru inildikçe aşağıdakilerden hangisi genellikle artar?;İyonlaşma enerjisi;Elektronegatiflik;Atom yarıçapı;Ametalik özellik;Elektron ilgisi;C;Orta
YKS;TYT;Kimya;Kimyasal Türler Arası Etkileşimler;Aşağıdaki bileşiklerden hangisi iyonik bağ içerir?;H2O;CO2;NaCl;NH3;CH4;C;Kolay
YKS;TYT;Kimya;Maddenin Halleri;Sıvıların sıcaklığı artırıldığında buharlaşma hızı ve akışkanlığı nasıl değişir?;Buharlaşma hızı artar akışkanlık azalır;Her ikisi de artar;Her ikisi de azalır;Buharlaşma hızı azalır akışkanlık artar;Değişmez;B;Orta
YKS;TYT;Biyoloji;Canlıların Ortak Özellikleri;Aşağıdakilerden hangisi tüm canlılarda ortak olarak gerçekleşen bir olaydır?;Fotosentez yapmak;Hücre çeperine sahip olmak;Oksijenli solunum yapmak;Protein sentezi gerçekleştirmek;Eşeyli üremek;D;Kolay
YKS;TYT;Biyoloji;Hücrenin Yapısı;Aşağıdaki organellerden hangisi kendine ait DNA, RNA ve ribozoma sahip olup hücre içinde bölünüp çoğalabilir?;Mitokondri;Lizozom;Golgi aygıtı;Endoplazmik retikulum;Sentrozom;A;Orta
YKS;TYT;Biyoloji;Canlıların Sınıflandırılması;Aşağıdaki canlı gruplarından hangisi tamamen prokaryot hücre yapısına sahiptir?;Bitkiler;Mantarlar;Bakteriler;Protistalar;Hayvanlar;C;Kolay
